Paragraph,Label
"You can rebase your local dev on upstream/dev (to remove any merge commits), rename it, and recreate dev",SC – Submit the changes
- Design Principles,No categories identified.
If you discover a potential security issue in this project we ask that you notify AWS/Amazon Security via our vulnerability reporting page. Please do not create a public github issue.,No categories identified.
git remote -v,BW – Build local workspace
"In particular, if you try to run commands and you see errors like this:",BW – Build local workspace
To help the committers review your code and speed up the merge:,SC – Submit the changes
- Prerequisites,No categories identified.
"If you'd like to contribute but don't know where to get started, you can take a look at existing issues:",CT – Choose a task
Document change on antvis/g2#123,SC – Submit the changes
"- The version of our code being used (for something like Fargate or EKS, the platform version.  For ECS, the agent version)",No categories identified.
Your reward is the sweet karma in knowing you,No categories identified.
- :heavy_check_mark: DO add XML comment documentation to new API calls along parameter documentation.,SC – Submit the changes
"- Please sign our Contributor License Agreement (CLA) before sending PRs.
We cannot accept code without this.",SC – Submit the changes
- Specific setup conditions,No categories identified.
- The BOINC Projects call occurs quarterly and is announced on the BOINC Projects email list,TC – Talk to the community
"Breaking Changes should start with the word BREAKING CHANGE: with a space or two newlines.
The rest of the commit message is then used for this.",No categories identified.
- if you're new to contributing to AMP stop by #welcome-contributors to say hi!,TC – Talk to the community
- Stack Overflow's voting system assures that the best answers are prominently visible.,No categories identified.
Adding features to AWS SAM,No categories identified.
Step 1: File an issue,No categories identified.
See our C# Coding Style for more information on following the project's conventions.,DC – Deal with the code
"The scope could be anything specifying place of the commit change. For example row,
task, header, options, css, readme, etc...",SC – Submit the changes
Promote Volunteer Computing,TC – Talk to the community
Financial contributions,No categories identified.
- Feel free to attach a screenshot or video illustrating the issue if you think it will be helpful.,No categories identified.
After your pull request is merged,SC – Submit the changes
Contributing Code,No categories identified.
Client and server side,DC – Deal with the code
"2.  If you add a feature, it is best to write the test as if it would be an
example how to use the newly introduced feature and to test all major,
newly introduced code.",SC – Submit the changes
- GitHub Help,No categories identified.
"cd ~/assemblymade/coderwall
echo Hello, `whoami` from `hostname` >> HELLO.txt
vagrant ssh
cd ~/assemblymade
cat HELLO.txt #whoa.
echo Hello, `whoami` from `hostname` >> HELLO.txt
exit
cat HELLO.txt # wah-wah-wee-wa!
rm -f HELLO.txt # yeah, it's deleted in the other spot too.",BW – Build local workspace
"- Recommended capture tools (Kap, LICEcap, Skitch)",SC – Submit the changes
- ...,SC – Submit the changes
"After your pull request is merged, you can safely delete your branch and pull the changes
from the main (upstream) repository:",SC – Submit the changes
"- The answer is not more options.  If you feel compelled to expose
new preferences to the user it's very possible you've made a wrong
turn somewhere.",DC – Deal with the code
- perf: A code change that improves performance,SC – Submit the changes
Basics,No categories identified.
"- If your snippet uses recursion, use the recursion tag and explain the base cases.",DC – Deal with the code
"Questions, Bugs, Features",No categories identified.
- qDummyPlugin.h  & qDummyPlugin.cpp: the source files,No categories identified.
- bundle_doctor - sanity check on Ruby gem configuration/installation,No categories identified.
1.  All interfaces should be documented through Doxygen. New APIs should introduce Doxygen documentation.,No categories identified.
Developer guidelines,No categories identified.
"Some packages use debug to
log debug messages to the console. The naming scheme should be
cypress:<package name>; where package name is without the @packages scope. For example to see launcher messages during unit
tests start it using",BW – Build local workspace
