Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Label,Spreadsheet,Worksheet,Row Index
Contributing,0,0,0,0,0,0,No categories identified.,0xAX@linux-insides.xlsx,contributing,0
"If you want to contribute to linux-insides, please follow these simple rules:",1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,1
1.  Press the fork button:,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,2
fork,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,3
2.  Clone the repository from your account with:,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,4
git clone git@github.com:your_github_username/linux-insides.git,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,5
3.  Create a new branch with:,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,6
"git checkout -b ""linux-bootstrap-1-fix""",1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,7
You can name it however you want.,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,8
4.  Make your changes.,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,9
5.  Don't forget to add yourself in contributors.md.,1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,10
"6.  Commit and push your changes, then make a pull request from Github.",1,0,0,0,0,0,CF – Contribution flow,0xAX@linux-insides.xlsx,contributing,11
IMPORTANT,0,0,0,0,0,0,No categories identified.,0xAX@linux-insides.xlsx,contributing,12
"Please, don't forget to update your fork. While you made your changes, the content of the master branch can change because other pull requests were merged and it can create conflicts. This is why you have to rebase on master every time before pushing your changes and check that your branch doesn't have any conflicts with master.",0,0,0,0,0,1,SC – Submit the changes,0xAX@linux-insides.xlsx,contributing,13
Thank you.,0,0,0,0,0,0,No categories identified.,0xAX@linux-insides.xlsx,contributing,14
0x Contribution Guide,0,0,0,0,0,0,No categories identified.,0xProject@0x-monorepo.xlsx,contributing,0
We welcome contributions from anyone on the internet and are grateful for even the smallest contributions. This document will help get you setup to start contributing back to 0x.,0,0,0,0,0,0,No categories identified.,0xProject@0x-monorepo.xlsx,contributing,1
Getting started,1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,2
1.  Fork 0xproject/0x-monorepo,1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,3
2.  Clone your fork,1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,4
3.  Follow the installation & build steps in the repo's top-level README.,1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,5
4.  Setup the recommended Development Tooling.,1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,6
5.  Open a PR with the [WIP] flag against the development branch and describe the change you are intending to undertake in the PR description. (see our branch naming conventions),1,0,0,0,0,0,CF – Contribution flow,0xProject@0x-monorepo.xlsx,contributing,7
"Before removing the [WIP] tag and submitting the PR for review, make sure:",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,8
- It passes our linter checks (yarn lint),0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,9
- It is properly formatted with Prettier (yarn prettier),0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,10
- It passes our continuous integration tests (See: Enabling code coverage checks on your fork for instructions on getting the submit-coverage test to pass on forks),0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,11
- You've created/updated the corresponding CHANGELOG entries.,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,12
- Your changes have sufficient test coverage (e.g regression tests have been added for bug fixes),0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,13
Branch structure,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,14
We have two main branches:,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,15
- master represents the most recently released (published on npm) version of the codebase.,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,16
- development represents the current development state of the codebase.,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,17
