CF - Contribution flow,stat_contributing pull,stat_ast,stat_plan,stat_project github,stat_discus
Fold #1,2.243198116,2.347154832,1.623831126,1.681079752,1.843279461
Fold #2,2.150003363,2.331282455,1.757871409,1.910018228,1.402909558
Fold #3,2.055503209,2.15824977,1.886090806,2.033994083,1.737476696
Fold #4,2.158448979,1.948308592,1.767330551,1.878135042,2.291398143
Fold #5,2.1665116,2.276504451,2.340467497,1.413926848,1.943486305
Fold #6,2.170198032,1.759491359,1.918322716,1.778152157,1.573825441
Fold #7,2.249813058,2.243640618,1.664220537,1.969215384,1.863809528
Fold #8,2.387954049,2.304718702,1.806401934,2.084422633,1.965291183
Fold #9,2.307608029,2.333699652,2.038190381,1.974029316,1.832629722
Fold #10,2.282945859,2.289541652,1.833960228,1.873023708,1.457843921
