DC - Deal with the code,stat_driver,stat_statement,stat_space,stat_object,stat_principle
Fold #1,2.89094981,2.583075827,2.375763088,2.486123463,2.290702539
Fold #2,2.894194902,2.11724503,2.38729842,2.320781231,1.792772455
Fold #3,2.825498361,2.27392962,2.30027075,2.366732966,2.228539911
Fold #4,2.896371386,2.42443615,2.12262746,2.306708242,2.079648987
Fold #5,2.512503754,2.304481066,2.26255868,2.314543039,2.249896554
Fold #6,2.754762424,2.367991592,2.160827776,2.58157585,2.07838641
Fold #7,2.455706544,2.576500225,2.259059732,2.3554023,2.314053311
Fold #8,2.811579975,2.031870398,2.372422464,2.257735001,1.976811409
Fold #9,2.766150844,2.434624585,2.306721071,2.200637507,2.218887644
Fold #10,2.84019551,2.356731788,2.651596475,1.991261782,1.934524371
