TC - Talk to the community,stat_pledge,stat_respectful,stat_contact,stat_chat,stat_standards
Fold #1,1.64557432,1.654539042,1.612324179,1.672874772,1.658379433
Fold #2,1.717558279,1.611288865,1.724459698,1.365842658,1.434054749
Fold #3,1.748992333,1.59560522,1.587636613,1.65210484,1.659481961
Fold #4,1.745837505,1.981155539,1.438265134,1.55666467,1.658417512
Fold #5,1.647395372,1.700617282,1.764362036,1.63242048,1.573526214
Fold #6,1.750600237,1.563834202,1.747808559,1.772555271,1.651784346
Fold #7,1.633952439,1.471308012,1.72846758,1.726060528,1.658129322
Fold #8,1.745340773,1.62069307,1.754696796,1.71152543,1.575517233
Fold #9,1.746636216,1.777950322,1.605744087,1.639375505,1.658731207
Fold #10,1.736157588,1.744821488,1.688429469,1.660314894,1.657211149
